"hourly_timestamp","mean_close"
"2017-09-03 20",4521.244
"2017-09-03 21",4489.8455
"2017-09-03 22",4528.87
"2017-09-03 23",4534.559
"2017-09-04 00",4463.106
"2017-09-04 01",4431.35566666667
"2017-09-04 02",4423.40533333333
"2017-09-04 03",4380.80866666667
"2017-09-04 04",4401.192
"2017-09-04 05",4436.59116666667
"2017-09-04 06",4419.249
"2017-09-04 07",4239.91566666667
"2017-09-04 08",4243.11083333333
"2017-09-04 09",4335.52266666667
"2017-09-04 10",4376.65933333333
"2017-09-04 11",4232.6565
"2017-09-04 12",4147.15916666667
"2017-09-04 13",4223.525
"2017-09-04 14",4208.89783333333
"2017-09-04 15",4078.45316666667
"2017-09-04 16",4037.58083333333
"2017-09-04 17",4007.5575
"2017-09-04 18",4049.449
"2017-09-04 19",4158.48016666667
"2017-09-04 20",4175.171
"2017-09-04 21",4220.00416666666
"2017-09-04 22",4191.13483333333
"2017-09-04 23",4136.96933333333
"2017-09-05 00",4027.8625
"2017-09-05 01",3876.65216666667
"2017-09-05 02",3875.428
"2017-09-05 03",4003.8605
"2017-09-05 04",4009.36333333333
"2017-09-05 05",3985.45066666666
"2017-09-05 06",4004.125
"2017-09-05 07",4102.31316666666
"2017-09-05 08",4151.17016666667
"2017-09-05 09",4092.88266666667
"2017-09-05 10",4133.498
"2017-09-05 11",4191.7275
"2017-09-05 12",4257.08333333333
"2017-09-05 13",4249.24683333333
"2017-09-05 14",4256.071
"2017-09-05 15",4193.43916666667
"2017-09-05 16",4156.85966666667
"2017-09-05 17",4258.624
"2017-09-05 18",4348.4645
"2017-09-05 19",4424.12966666667
"2017-09-05 20",4393.35866666667
"2017-09-05 21",4389.47316666667
"2017-09-05 22",4395.3355
"2017-09-05 23",4429.3295
"2017-09-06 00",4397.4425
"2017-09-06 01",4472.88333333333
"2017-09-06 02",4479.01883333334
"2017-09-06 03",4455.07283333333
"2017-09-06 04",4428.90616666667
"2017-09-06 05",4398.91916666667
"2017-09-06 06",4387.66
"2017-09-06 07",4444.89333333333
"2017-09-06 08",4503.44
"2017-09-06 09",4524.15316666667
"2017-09-06 10",4497.3795
"2017-09-06 11",4522.1435
"2017-09-06 12",4544.24083333333
"2017-09-06 13",4487.29166666667
"2017-09-06 14",4511.77216666667
"2017-09-06 15",4553.27416666667
"2017-09-06 16",4619.43
"2017-09-06 23",4624.79100000001
"2017-09-07 00",4614.78433333333
"2017-09-07 01",4496.39716666667
"2017-09-07 02",4490.35516666667
"2017-09-07 03",4512.793
"2017-09-07 04",4503.52466666667
"2017-09-07 05",4545.3695
"2017-09-07 06",4525.95733333333
"2017-09-07 07",4491.263
"2017-09-07 08",4491.23233333333
"2017-09-07 09",4541.511
"2017-09-07 10",4585.16166666667
"2017-09-07 11",4613.06666666667
"2017-09-07 12",4628.96516666667
"2017-09-07 13",4684.3485
"2017-09-07 14",4683.721
"2017-09-07 15",4693.54983333333
"2017-09-07 16",4744.38666666667
"2017-09-07 17",4712.84166666667
"2017-09-07 18",4707.21866666667
"2017-09-07 19",4724.52733333333
"2017-09-07 20",4663.6675
"2017-09-07 21",4594.7255
"2017-09-07 22",4656.19516666666
"2017-09-07 23",4702.81733333334
"2017-09-08 00",4634.90066666667
"2017-09-08 01",4603.773
"2017-09-08 02",4627.49766666667
"2017-09-08 03",4619.58816666667
"2017-09-08 04",4625.43866666667
"2017-09-08 05",4621.02783333334
"2017-09-08 06",4606.37616666667
"2017-09-08 07",4622.7855
"2017-09-08 08",4655.64066666667
"2017-09-08 09",4666.74616666667
"2017-09-08 10",4643.14016666666
"2017-09-08 11",4650.34
"2017-09-08 12",4665.18933333333
"2017-09-08 13",4504.50266666667
"2017-09-08 14",4235.74366666667
"2017-09-08 15",4249.16066666667
"2017-09-08 16",4347.86616666667
"2017-09-08 17",4272.0275
"2017-09-08 18",4266.46566666667
"2017-09-08 19",4249.46983333333
"2017-09-08 20",4169.34033333333
"2017-09-08 21",4143.17966666667
"2017-09-08 22",4223.54516666667
"2017-09-08 23",4287.039
"2017-09-09 00",4275.31366666667
"2017-09-09 01",4217.49183333333
"2017-09-09 02",4192.947
"2017-09-09 03",4254.93033333333
"2017-09-09 04",4229.21016666667
"2017-09-09 05",4323.77466666667
"2017-09-09 06",4338.90583333333
"2017-09-09 07",4335.087
"2017-09-09 08",4323.30666666666
"2017-09-09 09",4288.64
"2017-09-09 10",4310.95
"2017-09-09 11",4322.63416666667
"2017-09-09 12",4338.1385
"2017-09-09 13",4308.56683333333
"2017-09-09 14",4281.76233333333
"2017-09-09 15",4281.4665
"2017-09-09 16",4271.3205
"2017-09-09 17",4237.79633333334
"2017-09-09 18",4201.7015
"2017-09-09 19",4215.704
"2017-09-09 20",4264.607
"2017-09-09 21",4255.65566666667
"2017-09-09 22",4268.7385
"2017-09-09 23",4274.9825
"2017-09-10 00",4242.83633333333
"2017-09-10 01",4239.80583333333
